T1 fixation
19.96639:1741,405;
19.98293:1685,386;
20.00036:1695,396;
20.01888:1699,408;
20.03637:1669,407;
20.05268:1669,407;
20.06894:1669,407;
20.08519:1708,428;
20.10294:1708,428;
20.1185:1668,418;
20.13582:1668,418;
20.15137:1668,418;
20.16823:1724,460;
20.18468:1724,460;
20.20172:1724,460;
20.21806:1708,448;
20.23495:1714,449;
20.25105:1800,511;
20.26863:1815,528;
20.28596:1802,518;
20.30145:1790,523;
20.31825:1798,526;
20.33429:1782,529;
20.35013:1783,531;
20.36665:1798,538;
20.38316:1797,538;
20.40203:1797,538;
20.41905:1821,528;
20.43576:1819,527;
20.45169:1816,526;
20.46808:1816,526;
20.4851:1812,522;
20.50158:1812,522;
20.51848:1812,522;
20.53501:1812,522;
20.55198:1861,501;
20.56861:1861,501;
20.58516:1861,501;
20.60139:1706,463;
20.61817:1732,470;
20.63325:1732,470;
20.6498:1725,466;
20.66667:1702,450;
20.68419:1702,450;
20.70183:1746,469;
20.71827:1746,469;
20.73583:1777,483;
20.75121:1715,434;
20.76863:1670,402;
20.78479:1671,403;
20.80035:1646,394;
20.81807:1642,395;
20.83308:1641,395;
20.85046:1636,383;
20.86641:1626,373;
20.88321:1612,365;
20.90216:1612,365;
20.91898:1612,365;
20.93591:1562,343;
20.95319:1562,343;
20.97006:1562,343;
20.98515:1562,343;
21.00279:1562,343;
21.01883:1437,248;
21.03613:1437,248;
T21 fixation
23.40236:114,57;
23.41865:114,57;
23.43508:114,57;
23.44961:185,40;
23.46658:185,40;
23.48448:185,40;
23.5:192,34;
23.51659:199,37;
23.5332:200,53;
23.54931:268,45;
23.56788:257,44;
23.58655:248,53;
23.60187:248,51;
23.61762:250,49;
23.63445:225,53;
23.65016:229,53;
23.66889:224,56;
23.68497:219,67;
23.70195:219,67;
23.71967:219,67;
23.73594:219,67;
23.75203:219,67;
23.76901:219,67;
23.78569:219,67;
23.80166:219,67;
23.81692:219,67;
23.83314:219,67;
23.84999:238,68;
23.8664:313,68;
23.8833:281,76;
23.90002:288,76;
23.91757:289,81;
23.93782:273,80;
23.95209:262,79;
23.96824:262,79;
23.98461:249,79;
23.99992:249,79;
24.01751:146,78;
24.03323:135,80;
24.05021:119,80;
24.06811:114,81;
24.08517:106,88;
24.10172:106,88;
24.11866:99,87;
24.13492:99,87;
24.15171:99,87;
24.16784:64,103;
24.18538:64,103;
24.20218:64,103;
24.21888:64,103;
24.23477:64,103;
24.25226:64,103;
24.26846:64,103;
24.28423:64,103;
24.30141:64,103;
24.31781:64,103;
24.33491:64,103;
24.35132:64,103;
24.36832:64,103;
24.3848:64,103;
24.40128:64,103;
24.41799:64,103;
24.43504:64,103;
24.45186:347,110;
24.46717:142,20;
24.48599:189,45;
24.50142:189,45;
24.51667:221,65;
24.53333:225,66;
24.54997:227,66;
24.56787:229,68;
24.58576:234,69;
24.60196:234,69;
24.61892:234,69;
24.63594:234,69;
24.65187:234,69;
24.66887:234,69;
24.68524:234,69;
24.701:234,69;
24.71726:201,81;
24.7333:201,81;
24.74937:165,162;
24.766:176,128;
24.7832:154,105;
24.79994:141,98;
24.8188:140,92;
24.83479:136,91;
24.85184:128,88;
24.86916:127,89;
24.88497:128,100;
24.90176:128,100;
24.91686:113,110;
24.93416:106,108;
