T1 fixation
16.83305:1807,532;
16.84944:1799,522;
16.86638:1791,525;
16.88287:1801,525;
16.90042:1800,526;
16.91635:1800,526;
16.9331:1802,531;
16.94949:1813,536;
16.96621:1814,534;
16.98314:1813,533;
16.99968:1811,534;
17.01621:1809,532;
17.03293:1804,529;
17.04967:1804,529;
17.06696:1804,527;
17.08287:1807,523;
17.0996:1802,524;
17.11644:1802,524;
17.13295:1794,521;
17.14988:1788,514;
17.16629:1788,514;
17.18283:1791,517;
17.19978:1791,517;
17.21626:1791,514;
17.23302:1792,516;
17.24934:1793,516;
17.26622:1799,521;
17.28309:1804,532;
17.29961:1805,534;
17.31642:1804,533;
17.33298:1809,536;
17.34959:1809,536;
17.36627:1806,529;
17.38358:1808,529;
17.39962:1814,532;
17.41628:1815,530;
17.43298:1814,530;
17.44969:1813,529;
17.46621:1813,529;
17.48287:1813,529;
17.49968:1813,529;
17.51634:1819,524;
17.53262:1813,528;
17.54969:1813,528;
17.56648:1805,528;
17.58299:1807,527;
17.59985:1798,519;
17.61619:1801,520;
17.633:1812,523;
17.64957:1812,523;
17.66597:1816,522;
17.68273:1823,526;
17.69944:1811,520;
17.71627:1821,525;
17.73292:1817,524;
17.74953:1825,530;
17.76626:1826,531;
17.78297:1826,530;
17.79973:1826,530;
17.81633:1827,530;
17.83308:1827,531;
17.84972:1814,519;
17.86621:1816,520;
17.88306:1813,518;
17.89969:1806,514;
17.91634:1800,510;
17.93287:1797,509;
17.94971:1797,509;
17.96639:1808,517;
17.98263:1800,518;
17.99964:1795,512;
18.01711:1792,510;
18.03315:1791,513;
18.04939:1791,513;
18.06622:1791,514;
18.0829:1802,520;
18.09969:1802,520;
18.11606:1802,521;
18.13269:1799,518;
18.14948:1794,513;
18.16619:1795,512;
18.18301:1796,511;
18.19949:1796,511;
18.21624:1795,511;
18.2329:1795,511;
18.24958:1795,511;
18.26632:1794,513;
18.28302:1790,516;
18.29972:1788,513;
18.31605:1784,504;
18.33288:1784,501;
18.34969:1785,500;
18.36632:1791,504;
